YP_009259490__KU172421,KU172421_Ungulate bocaparvovirus 6,1864484,Ungulate bocaparvovirus 6,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus,KU172421,undef,Bocaparvovirus,KU172421_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus,YP_009259490,KU172421
YP_009551693__KY214448,KY214448_Lupine bocavirus,2017714,Lupine bocavirus,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,KY214448,unclassified Bocaparvovirus,unclassified Bocaparvovirus,KY214448_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,YP_009551693,KY214448
YP_009389289__KY640438,KY640438_Dromedary camel bocaparvovirus 2,2014604,Dromedary camel bocaparvovirus 2,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,KY640438,unclassified Bocaparvovirus,unclassified Bocaparvovirus,KY640438_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,YP_009389289,KY640438
ASC49417__KY640455.1,KY640455.1_Dromedary camel bocaparvovirus 2,2014604,Dromedary camel bocaparvovirus 2,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,KY640455.1,unclassified Bocaparvovirus,unclassified Bocaparvovirus,KY640455.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,ASC49417,KY640455.1
AHK26969__KF025380.1,KF025380.1_Porcine bocavirus 3,1084715,Porcine bocavirus 3,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5,KF025380.1,Ungulate bocaparvovirus 5,Ungulate bocaparvovirus 5,KF025380.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5,AHK26969,KF025380.1
YP_009272913__KU950356,KU950356_Mink bocavirus 1,2259808,Mink bocavirus 1,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 6,KU950356,Carnivore bocaparvovirus 6,Carnivore bocaparvovirus 6,KU950356_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 6,YP_009272913,KU950356
AGS15053__KF206158.1,KF206158.1_Porcine bocavirus,1165907,Porcine bocavirus,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,KF206158.1,unclassified Bocaparvovirus,unclassified Bocaparvovirus,KF206158.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,AGS15053,KF206158.1
YP_009508789__KC339251,KC339251_Bat bocavirus WM40,2259810,Bat bocavirus WM40,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 2,KC339251,Chiropteran bocaparvovirus 2,Chiropteran bocaparvovirus 2,KC339251_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 2,YP_009508789,KC339251
YP_009508781__KM017744,KM017744_Feline bocaparvovirus 3,2259807,Feline bocaparvovirus 3,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 5,KM017744,Carnivore bocaparvovirus 5,Carnivore bocaparvovirus 5,KM017744_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 5,YP_009508781,KM017744
ASC49322__KY640427.1,KY640427.1_Dromedary camel bocaparvovirus 1,2014603,Dromedary camel bocaparvovirus 1,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,KY640427.1,unclassified Bocaparvovirus,unclassified Bocaparvovirus,KY640427.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,ASC49322,KY640427.1
YP_009553050__MF682925,MF682925_Rousettus leschenaultii bocaparvovirus 1,2053082,Rousettus leschenaultii bocaparvovirus 1,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,MF682925,unclassified Bocaparvovirus,unclassified Bocaparvovirus,MF682925_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,YP_009553050,MF682925
AUD40075__MF464269.1,MF464269.1_Himalayan marmot bocaparvovirus 2,2059415,Himalayan marmot bocaparvovirus 2,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,MF464269.1,unclassified Bocaparvovirus,unclassified Bocaparvovirus,MF464269.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,AUD40075,MF464269.1
AMD43872__KT592508.1,KT592508.1_Bat bocavirus,1329649,Bat bocavirus,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,KT592508.1,unclassified Bocaparvovirus,unclassified Bocaparvovirus,KT592508.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,AMD43872,KT592508.1
AYW35040__MH003836.1,MH003836.1_Rodent bocavirus,2137546,Rodent bocavirus,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,MH003836.1,unclassified Bocaparvovirus,unclassified Bocaparvovirus,MH003836.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,AYW35040,MH003836.1
